id,name,price,brand,category,description
23,EFFACLAR GEL MOUSSANT PURIFIANT NETTOYANT PEAU GRASSE,53,Unknown,Unknown,LA ROCHE-POSAY EFFACLAR GEL MOUSSANT PURIFIANT Nouvelle formule enrichie par la science du microbiome grâce au nouvel actif Phylobioma. Purifie la peau en douceur et réduit visiblement les imperfections tout en respectant le pH physiologique de la peau. Sans savon. Peaux grasses et sensibles à tendance acnéique.
24,Hydraphase HA Yeux Contour des yeux,51,Unknown,Unknown,Soin Contour des Yeux Hydratant et Anti-Fatigue à l\'Acide Hyaluronique
25,Hydraphase HA Légère Crème Hydratante Visage à l\'Acide Hyaluronique,60,Unknown,Unknown,"Crème hydratante visage légère à l\'acide hyaluronique, peau normale à mixte. Hydrate et repulpe la peau. Ravive l\'éclat du teint."
26,Easy Bake Fragrance Free Loose Baking and Setting Powder,80,Huda Beauty,Unknown,"This powder feels weightless, and the silky texture blends seamlessly. It keeps makeup in place without creasing & absorbs shine/oil with zero flashback."
28,FauxFilter Luminous Matte Foundation,76,Huda Beauty,Unknown,"#FauxFilter is back with the same full coverage and long-lasting properties, you know and love from the OG formula, but with 24-hour flexible wear, a luminous matte finish AND… it’s fragrance-free!"
29,FauxFilter Luminous Matte Concealer,61,Huda Beauty,Unknown,"A crease-proof, medium to full buildable coverage creamy concealer that brightens, conceals, and moves with you for a luminous matte, skin-like finish that lasts all day."
30,Life Liner Double Ended Eyeliner Liquid & Pencil,36,Huda Beauty,Unknown,"The ultimate lifeproof, dual-ended eyeliner with a liquid tip one side and pencil on the other. Long-lasting, waterproof, smudge proof and fade proof."
31,LEGIT LASHES Double-Ended Volumizing and Lengthening Mascara Mini,60,Huda Beauty,Unknown,"Our mini LEGIT LASHES Mascara means you can bring your fave mascara with you on-the-go! It’s the same dual-ended, long-lasting, matte black mascara as our OG, but mini size! It delivers major volume, dramatic curl & insane length without weighing your lashes down! Plus, the two formulas mean it’s bigger than most mascara minis!"
32,LEGIT Lashes Waterproof Mascara Topcoat,60,Huda Beauty,Unknown,"LEGIT LASHES Waterproof Mascara Topcoat is a clear gel layer that makes your fave mascara water-, sweat-, and smudge-proof! One swipe of this topcoat with its precision brush will lock mascara into place, protecting them from tears, fears, downpours, late-night dancing & so much more! Whether you’re HIIT-ing the gym, jet-setting or a bride-to-be, this jelly-like texture features film formers and flexible resins to ensure extra comfort throughout the day and/or night without weighing down your lashes."
34,BEAUTIFUL SKIN FOUNDATION,95,Unknown,Unknown,"My buildable, medium-coverage, hydrating foundation for a healthy-looking, BEAUTIFUL SKIN EFFECT! 3 Neutral is a shade for fair skin with neutral undertones."
35,BEAUTIFUL SKIN SUN-KISSED GLOW BRONZER,87,Unknown,Unknown,"Fini lumineux, couvrance modulable, soin pour la peau."
36,EXAGGER-EYES VOLUME MASCARA,58,Unknown,Unknown,"NEW! volumising mascara for multiplied, thicker, fanned-out looking lashes, 28-HOUR EXAGGERATED FAST VOLUME + CURL!"
37,PILLOW TALK PUSH UP LASHES! MASCARA,93,Unknown,Unknown,"My miracle Pillow Talk mascara in a travel-sized tube for instant volume, length, stretch & 24HOUR VERTICAL LIFT EFFECT on the go!"
38,PILLOW TALK EYELINER,45,Unknown,Unknown,"Smokey berry-brown eyeliner pencil for DREAMY, DEFINED Pillow Talk EYES!"
39,PILLOW TALK BIG LIP PLUMPGASM,65,Unknown,Unknown,Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.
40,LIP LUSTRE HIGH SOCIETY,65,Unknown,Unknown,Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.
41,MATTE REVOLUTION,95,Unknown,Unknown,Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.
42,HOLLYWOOD CONTOUR WAND,84,Unknown,Unknown,Easy liquid contour that sculpts and shapes the look of your face. Now in 2 sculpting shades!
43,THE HOLLYWOOD CONTOUR DUO,70,Unknown,Unknown,MAGICAL SAVINGS ! Save a magical 10% when you buy these HOLLYWOOD EFFECT beauty icons together!!
44,PILLOW TALK BEAUTY SOULMATES FACE PALETTE,65,Unknown,Unknown,FLAWLESS PINK Perfect + love-blush with my Pillow Talk face palette featuring awakening AIRbrush Flawless Finish powder and Pillow Talk matte blush.
45,SUPERSTAR LIPS,74,Unknown,Unknown,"Superstar Lips in Pillow Talk is the best-selling iconic dreamy nude pink lipstick in a brand new texture! Combining the high shine of a gloss and the staying power of a lipstick, this cushiony texture glides onto your lips with a creamy feel."
46,PILLOW TALK LOVE EFFECT LIPSTICK KISS TALK,69,Unknown,Unknown,K.I.S.S.I.N.G - KISS TALK Limited-edition fresh-pink Pillow Talk lipstick with a satin-shine finish.
47,Super Stay Vinyl Ink ROYAL 55 ROYAL,55,Unknown,Unknown,"Vinyl Ink de Maybelline New-York: une encre à lèvres effet vinyl aux couleurs ultra-pigmentées pour une 	 tenue 16H*. Un fini effet vinyl, brillant longue tenue en un seul geste."
48,Lifter Gloss BUBBLEGUM,65,Unknown,Unknown,Lifter Gloss is formulated with Hyaluronic Acid that visibly smooths lip surface and enhances lip contour with high shine for fuller looking lips..
49,Lash Sensational Sky High Mascara BURGUNDY HAZE,75,Unknown,Unknown,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara, Sky High Space Diamond. Featuring the iconic Sky High flex tower brush, this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming, they’re out of this world!"
50,Lash Sensational Sky High Washable Mascara BLUE MIST,75,Unknown,Unknown,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara, Sky High Space Diamond. Featuring the iconic Sky High flex tower brush, this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming, they’re out of this world!"
51,Lash Sensational Sky High Washable Mascara BLACKEST BLACK,75,Unknown,Unknown,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara, Sky High Space Diamond. Featuring the iconic Sky High flex tower brush, this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming, they’re out of this world!"
52,Lash Sensational Sky High Glitter Mascara SPACE DIAMOND,75,Unknown,Unknown,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara, Sky High Space Diamond. Featuring the iconic Sky High flex tower brush, this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming, they’re out of this world!"
53,Maybelline Lash Sensational,75,Unknown,Unknown,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara, Sky High Space Diamond. Featuring the iconic Sky High flex tower brush, this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming, they’re out of this world!"
54,Fit Me Dewy + Smooth Liquid Foundation 375,92,Unknown,Unknown,Fit Me® Dewy + Smooth Foundation is a dewy foundation for dry skin that hydrates rough patches leaving skin with a dewy makeup look and naturally luminous finish.
55,Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer 095,55,Unknown,Unknown,"Instant Eraser is the do-it-all concealer that moisturizes too! This multi-use concealer does it all: hydrates, conceals, contours and corrects in a click! Get up to 12 hours of moisturizing wear for crease-resistant coverage and a sponge tip applicator."
56,Maybelline Fit Me Matte 110 PORCELAIN,55,Unknown,Unknown,Poreless Powder face makeup. Mattifies and leaves a poreless-looking finish with long-lasting shine control.
57,Can\'t Stop Won\'t Stop Contour Concealer 07,45,Unknown,Unknown,"Full coverage, long-wear cream concealer!"
58,Highlight & Contour Pro Palette,75,Unknown,Unknown,Define your features like a pro with our refillable highlight and contour palette! Each set includes eight customizable highlighting and contouring shades perfect for emphasizing your favorite features.
59,Bare With Me Blur Tint Foundation 24 JAVA,55,Unknown,Unknown,"Blurring tint foundation in 24 medium coverage, matte shades"
60,Vivid Brights Colored Liquid Eyeliner,35,Unknown,Unknown,Looking for pro-level graphic artistry made easy? Swipe right on bright with Vivid Brights Liquid Eyeliner by NYX Professional Makeup
61,Epic Wear Waterproof Eyeliner Stick,35,Unknown,Unknown,"High-impact, waterproof eyeliner pencil!"
62,Epic Ink Waterproof Liquid Eyeliner,35,Unknown,Unknown,"High-impact, waterproof eyeliner pencil!"
63,Soft Matte Lip Cream,50,Unknown,Unknown,Plush Matte Formula!
64,Lip Lingerie XXL Matte Liquid Lipstick,50,Unknown,Unknown,16H Full-Bodied Matte Liquid Lipstick
65,FAT OIL SLICK CLICK,50,Unknown,Unknown,Get slick lips in just a click with this lip oil stick! Our pigmented lip oil balm in click-up packaging dispenses just the right amount of lip oil for the perfect lip look.
66,Fat Oil Lip Drip,50,Unknown,Unknown,"Say hello to Fat Oil Lip Drip, our first lip oil of its kind. This creamy lip oil will have your lips dripping with FAT perks.!"
67,Lip I.V. Hydrating Lip Gloss Stain,50,Unknown,Unknown,Get all the vitamin-infused hydration of a lip serum in a hydrating lip gloss stain with Lip I.V. Lip Gloss Stain.
68,Afterglow Lip Shine Gloss,125,Unknown,Unknown,Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.
69,Afterglow Sheer Hydrating Lip Oil,145,Unknown,Unknown,A sensorial gel-oil gloss with long-lasting hydration and sheer shine.
70,Powermatte Long-Lasting Lipstick Rich pink berry,115,Unknown,Unknown,A sensorial gel-oil gloss with long-lasting hydration and sheer shine.
71,Explicit Refillable Satin Lipstick,85,Unknown,Unknown,"A high-end dimensional satin lipstick that delivers long-lasting comfort with vibrant, pure-color payoff and creamy, smudge-resistant wear."
72,Mini Laguna Bronzer Powder Talc-Free,90,Unknown,Unknown,"An iconic powder bronzer in nine, talc-free shades that creates instant warmth and a long-wearing natural looking glow."
73,Soft Matte Advanced Perfecting Powder,90,Unknown,Unknown,"A multi-purpose, skin-perfecting powder that blurs imperfections, smooths the look of skin, and sets makeup for up to 24 hours."
74,Mini Radiant Creamy Concealer with Medium Coverage,70,Unknown,Unknown,"A multipurpose concealer that brightens, corrects, and perfects for up to 16 hours with a creamy medium-to-buildable coverage and natural, radiant finish."
