id,nom,description,prix,category_name,marque_name,created_at,shade
17,NCEF-SHOT Sérum concentré anti-rides fermeté et éclat,"NCEF-SHOT est un sérum visage anti-âge ultra-concentré qui s'utilise en cure de 10 jours pour améliorer la qualité de peau et corriger les signes du vieillissement cutané. Un véritable coup de boost pour les peaux dévitalisées et fatiguées !",80,Face Care,Filorga,2025-04-17 14:11:36,[]
18,LIFT-STRUCTURE RADIANCE,"LIFT-STRUCTURE RADIANCE un fluide rose éclat ultra-liftant révélateur d’éclat naturel inspiré des techniques de médecine esthétique qui agit sur le manque de fermeté la perte de volume les traits fatigués le manque d’homogénéité ainsi que le teint terne pour un effet anti-âge radical.",79,Face Care,Filorga,2025-04-17 14:11:36,[]
19,HYDRA-HYAL CRÈME Crème de jour hydratante et repulpante,"Découvrez la crème visage HYDRA-HYAL le bain d'hydratation en pot. Pour compléter votre routine combinez la crème et le sérum.",90,Face Care,Filorga,2025-04-17 14:11:36,[]
20,OXYGEN-GLOW Crème perfectrice éclat,"Découvrez OXYGEN-GLOW une crème de jour perfectrice qui corrige la peau en temps réel et booste l'éclat instantanément et durablement pour une belle peau au naturel.",73,Face Care,Filorga,2025-04-17 14:11:36,[]
21,Solution à la Caféine 5% + EGCG,Solution décongestionnante pour les yeux fatigués.,50,Face Care,The Ordinary,2025-04-17 14:20:52,[]
22,Sérum Multi-Peptides + Peptides de Cuivre 1%,Un sérum anti-âge innovant qui offre une protection antioxydante supplémentaire.,46,Face Care,The Ordinary,2025-04-17 14:20:52,[]
23,EFFACLAR GEL MOUSSANT PURIFIANT NETTOYANT PEAU GRASSE,"LA ROCHE-POSAY EFFACLAR GEL MOUSSANT PURIFIANT Nouvelle formule enrichie par la science du microbiome grâce au nouvel actif Phylobioma. Purifie la peau en douceur et réduit visiblement les imperfections tout en respectant le pH physiologique de la peau. Sans savon. Peaux grasses et sensibles à tendance acnéique.",53,Face Care,La Roche-Posay,2025-04-17 14:39:17,[]
24,Hydraphase HA Yeux Contour des yeux,Soin Contour des Yeux Hydratant et Anti-Fatigue à l'Acide Hyaluronique,51,Moisturizers,La Roche-Posay,2025-04-17 14:39:17,[]
25,Hydraphase HA Légère Crème Hydratante Visage à l'Acide Hyaluronique,"Crème hydratante visage légère à l'acide hyaluronique peau normale à mixte. Hydrate et repulpe la peau. Ravive l'éclat du teint.",60,Moisturizers,La Roche-Posay,2025-04-17 14:45:08,[]
26,Easy Bake Fragrance Free Loose Baking and Setting Powder,"This powder feels weightless and the silky texture blends seamlessly. It keeps makeup in place without creasing & absorbs shine/oil with zero flashback.",80,Powder,Huda Beauty,2025-04-17 19:29:01,"[{""hex"": ""#8B4513"", ""name"": ""Banana Bread"", ""image"": ""Easy Bake Fragrance Free Loose Baking and Setting Powder.png""}, {""hex"": ""#F5F5DC"", ""name"": ""Cinnamon Bun"", ""image"": ""Easy Bake Fragrance Free Loose Baking and Setting Powder Brown.png""}]"
28,FauxFilter Luminous Matte Foundation,"#FauxFilter is back with the same full coverage and long-lasting properties you know and love from the OG formula but with 24-hour flexible wear a luminous matte finish AND… it’s fragrance-free!",76,Foundation,Huda Beauty,2025-04-17 20:01:10,"[{""hex"": ""#E6AC78"", ""name"": ""Macchiato 400G"", ""image"": ""prodimages/FauxFilter Luminous Matte Foundation.jpg""}, {""hex"": ""#FBDBB7"", ""name"": ""Panna Cotta 130G"", ""image"": ""prodimages/FauxFilter Luminous Matte FoundationPannaCotta.jpg""}, {""hex"": ""#A16B40"", ""name"": ""Mocha 500G"", ""image"": ""prodimages/FauxFilter Luminous Matte FoundationMocha.jpg""}]"
29,FauxFilter Luminous Matte Concealer,"A crease-proof medium to full buildable coverage creamy concealer that brightens conceals and moves with you for a luminous matte skin-like finish that lasts all day.",61,Concealer,Huda Beauty,2025-04-17 20:23:28,"[{""hex"": ""#db9a77"", ""name"": ""Graham Cracker 4.1G"", ""image"": ""prodimages/FauxFilter Luminous Matte Concealer.jpg""}, {""hex"": ""#f6cabb"", ""name"": ""Yogurt Drops 1.5B"", ""image"": ""prodimages/FauxFilter Luminous Matte ConcealerYogurt.jpg""}, {""hex"": ""#edbf9d"", ""name"": ""Coconut Flakes 2.7N"", ""image"": ""prodimages/FauxFilter Luminous Matte ConcealerCoconut.jpg""}, {""hex"": ""#9a5e35"", ""name"": ""Salted Caramel 7.3G"", ""image"": ""prodimages/FauxFilter Luminous Matte ConcealerCaramel.jpg""}]"
30,Life Liner Double Ended Eyeliner Liquid & Pencil,The ultimate lifeproof dual-ended eyeliner with a liquid tip one side and pencil on the other. Long-lasting waterproof smudge proof and fade proof.,36,Eye Liners,Huda Beauty,2025-04-17 21:46:32,[]
31,LEGIT LASHES Double-Ended Volumizing and Lengthening Mascara Mini,"Our mini LEGIT LASHES Mascara means you can bring your fave mascara with you on-the-go! It’s the same dual-ended long-lasting matte black mascara as our OG but mini size! It delivers major volume dramatic curl & insane length without weighing your lashes down! Plus the two formulas mean it’s bigger than most mascara minis!",60,Mascara,Huda Beauty,2025-04-17 21:49:39,[]
32,LEGIT Lashes Waterproof Mascara Topcoat,"LEGIT LASHES Waterproof Mascara Topcoat is a clear gel layer that makes your fave mascara water- sweat- and smudge-proof! One swipe of this topcoat with its precision brush will lock mascara into place protecting them from tears fears downpours late-night dancing & so much more! Whether you’re HIIT-ing the gym jet-setting or a bride-to-be this jelly-like texture features film formers and flexible resins to ensure extra comfort throughout the day and/or night without weighing down your lashes.",60,Mascara,Huda Beauty,2025-04-17 21:49:39,[]
34,BEAUTIFUL SKIN FOUNDATION,"My buildable medium-coverage hydrating foundation for a healthy-looking BEAUTIFUL SKIN EFFECT! 3 Neutral is a shade for fair skin with neutral undertones.",95,Foundation,Charlotte Tilbury,2025-04-18 12:42:57,"[{""hex"": ""#E8D3B8"", ""nom"": ""3 NEUTRAL"", ""image_path"": ""imagesprod/BEAUTIFUL SKIN FOUNDATION.png""}, {""hex"": ""#F1DBC7"", ""nom"": ""2 Neutral"", ""image_path"": ""imagesprod/BEAUTIFUL SKIN FOUNDATION 2.png""}, {""hex"": ""#D6B99D"", ""nom"": ""4 Neutral"", ""image_path"": ""imagesprod/BEAUTIFUL SKIN FOUNDATION 4.png""}]"
35,BEAUTIFUL SKIN SUN-KISSED GLOW BRONZER,"Fini lumineux couvrance modulable soin pour la peau.",87,Contouring,Charlotte Tilbury,2025-04-18 12:49:10,"[{""hex"": ""#D1B59A"", ""nom"": ""1 FAIR"", ""image_path"": ""prodimages/BEAUTIFUL SKIN SUN-KISSED GLOW BRONZER.png""}, {""hex"": ""#6A4E3A"", ""nom"": ""3 TAN"", ""image_path"": ""prodimages/BEAUTIFUL SKIN SUN-KISSED GLOW BRONZER TAN.png""}]"
36,EXAGGER-EYES VOLUME MASCARA,NEW! volumising mascara for multiplied thicker fanned-out looking lashes 28-HOUR EXAGGERATED FAST VOLUME + CURL!,58,Mascara,Charlotte Tilbury,2025-04-18 15:14:55,[]
37,PILLOW TALK PUSH UP LASHES! MASCARA,My miracle Pillow Talk mascara in a travel-sized tube for instant volume length stretch & 24HOUR VERTICAL LIFT EFFECT on the go!,93,Mascara,Charlotte Tilbury,2025-04-18 15:14:55,[]
38,PILLOW TALK EYELINER,Smokey berry-brown eyeliner pencil for DREAMY DEFINED Pillow Talk EYES!,45,Eye Liners,Charlotte Tilbury,2025-04-18 15:17:12,[]
39,PILLOW TALK BIG LIP PLUMPGASM,Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.,65,Gloss,Charlotte Tilbury,2025-04-18 15:24:43,[]
40,LIP LUSTRE HIGH SOCIETY,"Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.",65,Gloss,Charlotte Tilbury,2025-04-18 15:24:43,"[{""hex"": ""#B76E79"", ""nom"": ""HIGH SOCIETY"", ""image_path"": ""prodimages/LIP LUSTRE HIGH SOCIETY.png""}, {""hex"": ""#5A2C4A"", ""nom"": ""UNLEASH ME"", ""image_path"": ""prodimages/LIP LUSTRE UNLEASH ME.png""}, {""hex"": ""#F28C8C"", ""nom"": ""SWEET STILETTO"", ""image_path"": ""prodimages/LIP LUSTRE SWEET STILETTO.png""}]"
41,MATTE REVOLUTION,"Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.",95,Lipsticks,Charlotte Tilbury,2025-04-18 15:30:34,"[{""hex"": ""#9E5A4A"", ""nom"": ""MARK OF A KISS"", ""image_path"": ""prodimages/MATTE REVOLUTION.png""}, {""hex"": ""#A67C6B"", ""nom"": ""VERY VICTORIA"", ""image_path"": ""prodimages/MATTE REVOLUTION VERY VICTORIA.png""}, {""hex"": ""#5E1F3D"", ""nom"": ""FESTIVAL MAGIC"", ""image_path"": ""prodimages/MATTE REVOLUTION FESTIVAL MAGIC.png""}, {""hex"": ""#9B1B30"", ""nom"": ""RED CARPET RED"", ""image_path"": ""prodimages/MATTE REVOLUTION RED CARPET RED.png""}]"
42,HOLLYWOOD CONTOUR WAND,"Easy liquid contour that sculpts and shapes the look of your face. Now in 2 sculpting shades!",84,Contouring,Charlotte Tilbury,2025-04-18 15:41:46,"[{""hex"": ""#C8A27E"", ""nom"": ""FAIR-MEDIUM"", ""imagePath"": ""prodimages/HOLLYWOOD CONTOUR WAND.png""}, {""hex"": ""#7B4B3A"", ""nom"": ""MEDIUM DEEP"", ""imagePath"": ""prodimages/HOLLYWOOD CONTOUR WAND MEDIUM DEEP.png""}]"
43,THE HOLLYWOOD CONTOUR DUO,MAGICAL SAVINGS ! Save a magical 10% when you buy these HOLLYWOOD EFFECT beauty icons together!!,70,Contouring,Charlotte Tilbury,2025-04-18 15:41:46,[]
44,PILLOW TALK BEAUTY SOULMATES FACE PALETTE,FLAWLESS PINK Perfect + love-blush with my Pillow Talk face palette featuring awakening AIRbrush Flawless Finish powder and Pillow Talk matte blush.,65,Powder,Charlotte Tilbury,2025-04-18 15:43:21,[]
45,SUPERSTAR LIPS,"Superstar Lips in Pillow Talk is the best-selling iconic dreamy nude pink lipstick in a brand new texture! Combining the high shine of a gloss and the staying power of a lipstick this cushiony texture glides onto your lips with a creamy feel.",74,Lipsticks,Charlotte Tilbury,2025-04-18 15:52:59,"[{""hex"": ""#D8A39D"", ""nom"": ""PILLOW TALK"", ""image_path"": ""prodimages/SUPERSTAR LIPS.png""}, {""hex"": ""#A03C4F"", ""nom"": ""WALK OF NO SHAME"", ""image_path"": ""prodimages/SUPERSTAR LIPS WALK OF NO SHAME.png""}]"
46,PILLOW TALK LOVE EFFECT LIPSTICK KISS TALK,K.I.S.S.I.N.G - KISS TALK Limited-edition fresh-pink Pillow Talk lipstick with a satin-shine finish.,69,Lipsticks,Charlotte Tilbury,2025-04-18 15:52:59,[]
47,Super Stay Vinyl Ink ROYAL 55 ROYAL,"Vinyl Ink de Maybelline New-York: une encre à lèvres effet vinyl aux couleurs ultra-pigmentées pour une tenue 16H*. Un fini effet vinyl brillant longue tenue en un seul geste.",55,Lipsticks,Maybelline,2025-04-23 12:00:41,"[{""hex"": ""#5C003F"", ""nom"": ""Super Stay Vinyl Ink 55 ROYAL"", ""imagePath"": ""prodimages/Super Stay Vinyl Ink 55 ROYAL.jpg""}, {""hex"": ""#D8A0B0"", ""nom"": ""Super Stay Vinyl Ink 20 COY"", ""imagePath"": ""prodimages/Super Stay Vinyl Ink 20 COY.jpg""}, {""hex"": ""#8B004F"", ""nom"": ""Super Stay Vinyl Ink 30 UNRIVALED"", ""imagePath"": ""prodimages/Super Stay Vinyl Ink 30 UNRIVALED.jpg""}, {""hex"": ""#E25B45"", ""nom"": ""Super Stay Vinyl Ink 125 KEEN"", ""imagePath"": ""prodimages/Super Stay Vinyl Ink 125 KEEN.jpg""}]"
48,Lifter Gloss BUBBLEGUM,"Lifter Gloss is formulated with Hyaluronic Acid that visibly smooths lip surface and enhances lip contour with high shine for fuller looking lips..",65,Gloss,Maybelline,2025-04-23 12:13:16,"[{""hex"": ""#EC5C9F"", ""nom"": ""Lifter Gloss BUBBLEGUM"", ""imagePath"": ""prodimages/Lifter Gloss BUBBLEGUM.jpg""}, {""hex"": ""#B03A6E"", ""nom"": ""Lifter Gloss TAFFY"", ""imagePath"": ""prodimages/Lifter Gloss TAFFY.jpg""}, {""hex"": ""#B8860B"", ""nom"": ""Lifter Gloss CRYSTAL"", ""imagePath"": ""prodimages/Lifter Gloss CRYSTAL.jpg""}, {""hex"": ""#F88379"", ""nom"": ""Lifter Gloss PEACH RING"", ""imagePath"": ""prodimages/Lifter Gloss PEACH RING.jpg""}]"
49,Lash Sensational Sky High Mascara BURGUNDY HAZE,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara Sky High Space Diamond. Featuring the iconic Sky High flex tower brush this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming they’re out of this world!",75,Mascara,Maybelline,2025-04-23 12:24:28,[]
50,Lash Sensational Sky High Washable Mascara BLUE MIST,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara Sky High Space Diamond. Featuring the iconic Sky High flex tower brush this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming they’re out of this world!",75,Mascara,Maybelline,2025-04-23 12:24:28,[]
51,Lash Sensational Sky High Washable Mascara BLACKEST BLACK,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara Sky High Space Diamond. Featuring the iconic Sky High flex tower brush this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming they’re out of this world!",75,Mascara,Maybelline,2025-04-23 12:24:28,[]
52,Lash Sensational Sky High Glitter Mascara SPACE DIAMOND,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara Sky High Space Diamond. Featuring the iconic Sky High flex tower brush this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming they’re out of this world!",75,Mascara,Maybelline,2025-04-23 12:24:28,[]
53,Maybelline Lash Sensational,"Take your lashes to the next dimension with Maybelline’s 1st glitter mascara Sky High Space Diamond. Featuring the iconic Sky High flex tower brush this pearl infused formula delivers a silver diamond finish for lashes so lengthened and gleaming they’re out of this world!",75,Mascara,Maybelline,2025-04-23 12:25:44,[]
54,Fit Me Dewy + Smooth Liquid Foundation 375,"Fit Me® Dewy + Smooth Foundation is a dewy foundation for dry skin that hydrates rough patches leaving skin with a dewy makeup look and naturally luminous finish.",92,Foundation,Maybelline,2025-04-23 12:35:22,"[{""hex"": ""#4B3621"", ""nom"": ""375 JAVA"", ""imagePath"": ""prodimages/Fit Me Dewy + Smooth Liquid Foundation 375 JAVA.jpg""}, {""hex"": ""#C68642"", ""nom"": ""310 SUN BEIGE"", ""imagePath"": ""prodimages/Fit Me Dewy + Smooth Liquid Foundation 310 SUN BEIGE.jpg""}, {""hex"": ""#D2A679"", ""nom"": ""240 GOLDEN BEIGE"", ""imagePath"": ""prodimages/Fit Me Dewy + Smooth Liquid Foundation 240 GOLDEN BEIGE.jpg""}]"
55,Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer 095,"Instant Eraser is concealer that moisturizes too! This multi-use concealer does it all: hydrates conceals contours and corrects in a click! .",55,Concealer,Maybelline,2025-04-23 12:47:16,"[{""hex"": ""#F3C9B2"", ""nom"": ""Concealer 095"", ""imagePath"": ""prodimages/Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer 095.jpg""}, {""hex"": ""#6E3C2C"", ""nom"": "" Concealer 159"", ""imagePath"": ""prodimages/Instant Age Rewind Instant Eraser Color Correcting Concealer 159.jpg""}, {""hex"": ""#E3B697"", ""nom"": ""Concealer 130"", ""imagePath"": ""prodimages/Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer 130.jpg""}, {""hex"": ""#F2CDA9"", ""nom"": ""Concealer 121"", ""imagePath"": ""prodimages/Instant Age Rewind Eraser Dark Circles Treatment Multi-Use Concealer 121.jpg""}]"
56,Maybelline Fit Me Matte 110 PORCELAIN, Poreless Powder face makeup. Mattifies and leaves a poreless-looking finish with long-lasting shine control.,55,Powder,Maybelline,2025-04-23 13:17:44,"[{""hex"": ""#F3E0D7"", ""nom"": ""110 PORCELAIN"", ""imagePath"": ""prodimages/Maybelline Fit Me Matte 110 PORCELAIN.jpg""}, {""hex"": ""#E8C8B0"", ""nom"": ""122 CREAMY BEIGE"", ""imagePath"": ""prodimages/Maybelline Fit Me Matte 122 CREAMY BEIGE.jpg""}]"
57,"Can't Stop Won't Stop Contour Concealer 07",Full coverage long-wear cream concealer!,45,Concealer,NYX,2025-04-23 13:26:53,"[{""hex"": ""#F1DBC7"", ""nom"": ""07"", ""imagePath"": ""prodimages/Can't Stop Won't Stop Contour Concealer 07.png""}, {""hex"": ""#E8D3B8"", ""nom"": ""02 Alabester"", ""imagePath"": ""prodimages/Can't Stop Won't Stop Contour Concealer 02 Alabaster.png""}, {""hex"": ""#D6B99D"", ""nom"": ""4 Neutral"", ""imagePath"": ""images/teintes/4_neutral.jpg""}]"
58,Highlight & Contour Pro Palette,"Define your features like a pro with our refillable highlight and contour palette! customizable highlighting and contouring shades.",75,Contouring,NYX,2025-04-23 13:48:19,[]
59,Bare With Me Blur Tint Foundation 24 JAVA,Blurring tint foundation in 24 medium coverage matte shades,55,Foundation,NYX,2025-04-23 13:48:19,"[{""hex"": ""#3B2F2F"", ""nom"": ""24 JAVA"", ""imagePath"": ""prodimages/Bare With Me Blur Tint Foundation 24 JAVA.png""}, {""hex"": ""#FBE8D3"", ""nom"": ""02 FAIR"", ""imagePath"": ""prodimages/Bare With Me Blur Tint Foundation 02 FAIR.jpg""}]"
60,Vivid Brights Colored Liquid Eyeliner,"Swipe right on bright with Vivid Brights Liquid Eyeliner by NYX Makeup",35,Eye Liners,NYX,2025-04-23 13:52:19,[]
61,Epic Wear Waterproof Eyeliner Stick,High-impact waterproof eyeliner pencil!,35,Eye Liners,NYX,2025-04-23 13:52:19,[]
62,Epic Ink Waterproof Liquid Eyeliner,High-impact waterproof eyeliner pencil!,35,Eye Liners,NYX,2025-04-23 13:52:19,[]
63,Soft Matte Lip Cream,Plush Matte Formula!,50,Lipsticks,NYX,2025-04-23 14:01:10,[]
64,Lip Lingerie XXL Matte Liquid Lipstick,16H Full-Bodied Matte Liquid Lipstick,50,Lipsticks,NYX,2025-04-23 14:01:10,[]
65,FAT OIL SLICK CLICK,"Get slick lips in just a click with this lip oil stick! Our pigmented lip oil balm in click-up packaging dispenses just the right amount of lip oil for the perfect lip look.",50,Lipsticks,NYX,2025-04-23 14:01:10,[]
66,Fat Oil Lip Drip,Say hello to Fat Oil Lip Drip our first lip oil of its kind. This creamy lip oil will have your lips dripping with FAT perks.!,50,Gloss,NYX,2025-04-23 14:01:10,[]
67,Lip I.V. Hydrating Lip Gloss Stain,Get all the vitamin-infused hydration of a lip serum in a hydrating lip gloss stain with Lip I.V. Lip Gloss Stain.,50,Gloss,NYX,2025-04-23 14:01:10,[]
68,Afterglow Lip Shine Gloss,"Lip-plumping lip gloss in a pink nude shade for an instant plumping effect!.",125,Gloss,Nars,2025-04-23 16:14:28,[]
69,Afterglow Sheer Hydrating Lip Oil,A sensorial gel-oil gloss with long-lasting hydration and sheer shine.,145,Lipsticks,Nars,2025-04-23 16:14:28,[]
70,Powermatte Long-Lasting Lipstick Rich pink berry,A sensorial gel-oil gloss with long-lasting hydration and sheer shine.,115,Lipsticks,Nars,2025-04-23 16:14:28,[]
71,Explicit Refillable Satin Lipstick,A high-end dimensional satin lipstick that delivers long-lasting comfort with vibrant pure-color payoff and creamy smudge-resistant wear.,85,Lipsticks,Nars,2025-04-23 16:14:28,[]
72,Mini Laguna Bronzer Powder Talc-Free,"An iconic powder bronzer in nine talc-free shades that creates instant warmth and a long-wearing natural looking glow.",90,Powder,Nars,2025-04-23 16:14:28,[]
73,Soft Matte Advanced Perfecting Powder,"A multi-purpose skin-perfecting powder that blurs imperfections smooths the look of skin and sets makeup for up to 24 hours.",90,Powder,Nars,2025-04-23 16:14:28,[]
74,Mini Radiant Creamy Concealer with Medium Coverage,"A concealer that brightens corrects and perfects for up to to 16 hours",70,Concealer,Nars,2025-04-23 16:14:28,[]
