product_name,product_description,image_url
"MG217 Psoriasis Medicated Multi-Symptom Cream","Contains 3% Coal Tar to slow down skin cell overgrowth and relieve itching, scaling, and redness associated with psoriasis.",https://www.psoriasis.org/seal-of-recognition/mg217/mg217-sal-acid-multi-symptom-moisturizing-cream/
"Neutrogena T/Gel Therapeutic Shampoo","A coal tar shampoo designed to control symptoms of scalp psoriasis, dandruff, and seborrheic dermatitis.",https://www.walmart.com/ip/Neutrogena-T-Gel-Therapeutic-Shampoo-Original-Formula-8-50-oz/226268203
"CeraVe Psoriasis Cleanser","Formulated with salicylic acid to gently exfoliate scales and urea to attract moisture. Helps to relieve symptoms of psoriasis.",https://uat-cd-us.cerave.com/skincare/cleansers/psoriasis-cleanser
"Dermal Therapy Psoriasis Cream","Natural ingredients like urea, lactic acid, and colloidal oatmeal to hydrate and soothe psoriatic skin.",https://directchemistoutlet.com.au/dermal-therapy-psoriasis-cream-60g.html
"Wild Naturals Manuka Honey Cream for Psoriasis","Natural cream with manuka honey, aloe vera, and shea butter to calm irritated skin and reduce redness.",https://www.ebay.com/itm/204256173477
"Azelaic Acid 10% Serum (e.g., The Ordinary)","Helps to reduce redness, inflammation, and the appearance of blemishes associated with rosacea. Also an antioxidant.",https://www.onetwofree.co/product/10-azelaic-acid-booster/
"La Roche-Posay Rosaliac AR Intense","An intensive serum designed to visibly reduce redness and soothe sensitive, rosacea-prone skin. Contains Ambophenol and Neurosensine.",https://www.lovelyskin.com/o/la-roche-posay-rosaliac-ar-intense
"Paula's Choice CALM Redness Relief Moisturizer","A gentle moisturizer that calms redness, soothes irritation, and provides hydration for sensitive skin prone to rosacea.",https://www.cloud10beauty.com/products/paula-s-choice-calm-redness-relief-nighttime-moisturizer-dry-skin
"Cetaphil Redness Relieving Daily Facial Moisturizer","Hydrates and calms redness, providing broad-spectrum SPF 20 protection. Contains allantoin and licorice extract.",https://www.cetaphil.com/us/moisturizers/redness-relieving-daily-facial-tinted-moisturizer-spf-40/302995889005.html
"Soolantra (Ivermectin) Cream 1%","A prescription topical cream used to treat inflammatory lesions of rosacea. (Note: Include this as a conceptual example, but real-world RAG might focus on OTC).",https://www.1mg.com/drugs/Soolantra-Cream-1072796
"CeraVe Acne Foaming Cream Cleanser","Contains 4% Benzoyl Peroxide to clear acne breakouts and prevent new ones from forming, along with ceramides to maintain the skin's natural barrier. Ideal for daily use on oily or acne-prone skin.",https://www.cerave.com/skincare/cleansers/facial-cleansers/-acne-foaming-cream-wash-
"Paula's Choice 2% BHA Liquid Exfoliant","A leave-on exfoliant with salicylic acid that unclogs pores, smooths skin texture, and reduces blackheads and breakouts.",https://www.niche-beauty.com/en-ie/products/paulas-choice-skin-perfecting-2-bha-liquid-exfoliant/479-005
"La Roche-Posay Effaclar Duo Dual Action Acne Treatment","Features micronized benzoyl peroxide and LHA to reduce acne blemishes, blackheads, and whiteheads while minimizing irritation.",https://www.amazon.com/Roche-Posay-Effaclar-Exfoliant-Treatment-Blemishes/dp/B0DFJQPHVC
"The Ordinary Niacinamide 10% + Zinc 1%","High-strength vitamin and mineral blemish formula that reduces the appearance of skin congestion and brightens skin tone.",https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ
"Differin Adapalene Gel 0.1%","A prescription-strength retinoid for acne treatment that clears breakouts deep within the pores to prevent new ones from forming.",https://www.shutterstock.com/search/differin-adapalene-cream-acne-treatment
"Aveeno Eczema Therapy Daily Moisturizing Cream","Clinically shown to relieve dry, itchy, irritated skin due to eczema. Formulated with colloidal oatmeal and ceramides.",https://www.aveeno.com/products/eczema-therapy-daily-moisturizing-cream
"CeraVe Eczema Relief Creamy Oil","Provides intense moisture to very dry, itchy, and irritated skin. Contains ceramides and hyaluronic acid to restore skin barrier.",https://www.cerave.com/skincare/moisturizers/eczema-creamy-oil
"Eucerin Eczema Relief Body Cream","A unique formula with colloidal oatmeal, ceramide-3, and licochalcone A to soothe and moisturize irritated skin.",https://www.en.eucerin.ca/products/eczema-relief/eczema-relief-body-creme
"Vanicream Moisturizing Cream","A non-greasy, long-lasting cream that is free of common chemical irritants found in ordinary moisturizers. Ideal for sensitive skin, including eczema-prone.",https://medrockpharmacy.com/product/vanicream-moisturizing-skin-cream-with-pump-dispenser-16-fl-oz-1-lb-moisturizer-formulated-without-common-irritants-for-th/
"Dermeze Treatment Cream","A rich, emollient cream for very dry, irritated, and sensitive skin conditions like eczema. Helps to hydrate and protect.",https://www.amazon.com/Dermeze-Treatment-Cream-100g/dp/B07M5H8N22
"MG217 Psoriasis Medicated Multi-Symptom Cream","Contains 3% Coal Tar to slow down skin cell overgrowth and relieve itching, scaling, and redness associated with psoriasis.",https://www.psoriasis.org/seal-of-recognition/mg217/mg217-sal-acid-multi-symptom-moisturizing-cream/
"Neutrogena T/Gel Therapeutic Shampoo","A coal tar shampoo designed to control symptoms of scalp psoriasis, dandruff, and seborrheic dermatitis.",https://www.walmart.com/ip/Neutrogena-T-Gel-Therapeutic-Shampoo-Original-Formula-8-50-oz/226268203
"CeraVe Psoriasis Cleanser","Formulated with salicylic acid to gently exfoliate scales and urea to attract moisture. Helps to relieve symptoms of psoriasis.",https://uat-cd-us.cerave.com/skincare/cleansers/psoriasis-cleanser
"Dermal Therapy Psoriasis Cream","Natural ingredients like urea, lactic acid, and colloidal oatmeal to hydrate and soothe psoriatic skin.",https://directchemistoutlet.com.au/dermal-therapy-psoriasis-cream-60g.html
"Wild Naturals Manuka Honey Cream for Psoriasis","Natural cream with manuka honey, aloe vera, and shea butter to calm irritated skin and reduce redness.",https://www.ebay.com/itm/204256173477
"Azelaic Acid 10% Serum (e.g., The Ordinary)","Helps to reduce redness, inflammation, and the appearance of blemishes associated with rosacea. Also an antioxidant.",https://www.onetwofree.co/product/10-azelaic-acid-booster/
"La Roche-Posay Rosaliac AR Intense","An intensive serum designed to visibly reduce redness and soothe sensitive, rosacea-prone skin. Contains Ambophenol and Neurosensine.",https://www.lovelyskin.com/o/la-roche-posay-rosaliac-ar-intense
"Paula's Choice CALM Redness Relief Moisturizer","A gentle moisturizer that calms redness, soothes irritation, and provides hydration for sensitive skin prone to rosacea.",https://www.cloud10beauty.com/products/paula-s-choice-calm-redness-relief-nighttime-moisturizer-dry-skin
"Cetaphil Redness Relieving Daily Facial Moisturizer","Hydrates and calms redness, providing broad-spectrum SPF 20 protection. Contains allantoin and licorice extract.",https://www.cetaphil.com/us/moisturizers/redness-relieving-daily-facial-tinted-moisturizer-spf-40/302995889005.html
"Soolantra (Ivermectin) Cream 1%","A prescription topical cream used to treat inflammatory lesions of rosacea. (Note: Include this as a conceptual example, but real-world RAG might focus on OTC).",https://www.1mg.com/drugs/Soolantra-Cream-1072796
"DermaZinc Zinc Pyrithione Soap","A medicated soap with zinc pyrithione to relieve itching, redness, and scaling associated with seborrheic dermatitis and dandruff.",https://www.dermatin.com/products/dermatin-zinc-pyrithione-soap-bar
"Nizoral Anti-Dandruff Shampoo","Contains ketoconazole to treat and prevent fungal infections that cause dandruff and seborrheic dermatitis.",https://www.nizoral.com/anti-dandruff-shampoo
"Head & Shoulders Clinical Strength Dandruff & Seborrheic Dermatitis Shampoo","Extra strength formula with selenium sulfide for severe dandruff and seborrheic dermatitis.",https://www.amazon.com/Head-Shoulders-Clinical-Dandruff-Seborrheic/dp/B075S1975Z
"Selsun Blue Medicated Treatment Dandruff Shampoo","Formulated with selenium sulfide to help control flaky scalp and itching due to dandruff and seborrheic dermatitis.",https://www.amazon.com/Selsun-Blue-Medicated-Treatment-Dandruff/dp/B000052YMW
"DHS Zinc Shampoo","A gentle zinc pyrithione shampoo for daily use to control dandruff and seborrheic dermatitis.",https://www.physicianscarealliance.com/products/dhs-zinc-shampoo
"Clotrimazole Cream (e.g., Lotrimin AF)","An antifungal cream used to treat various fungal skin infections like athlete's foot, jock itch, and ringworm.",https://www.amazon.com/Lotrimin-AF-Antifungal-Cream-Clotrimazole/dp/B000052ZCA
"Terbinafine Hydrochloride Cream (e.g., Lamisil AT)","An antifungal cream effective against athlete's foot, jock itch, and ringworm by preventing the growth of fungus.",https://www.lamisil.com/products/lamisil-at-cream
"Miconazole Nitrate Cream (e.g., Desenex)","An antifungal cream that treats common fungal skin infections, relieving itching, burning, and scaling.",https://www.amazon.com/Desenex-Antifungal-Powder-Maximum-Strength/dp/B000052YV4
"Tinactin Antifungal Cream","Contains tolnaftate to effectively cure and prevent common fungal infections like athlete's foot.",https://www.tinactin.com/products/tinactin-cream
"Griseofulvin (Oral Medication)","A prescription oral antifungal medication used for more severe or widespread fungal skin infections. (Conceptual example for RAG)",https://www.webmd.com/drugs/2/drug-3277/griseofulvin-oral/details
"Hydrocortisone Cream 1% (OTC)","A mild corticosteroid cream used to reduce inflammation, itching, and redness from various skin conditions including mild allergic reactions and insect bites.",https://www.amazon.com/Cortizone-10-Maximum-Strength-Hydrocortisone/dp/B000GB51C2
"Benadryl Itch Stopping Cream","Contains diphenhydramine to relieve itching caused by insect bites, minor skin irritations, and rashes.",https://www.benadryl.com/products/benadryl-itch-stopping-cream-extra-strength
"Calamine Lotion","A traditional topical medication used to relieve itching and skin irritation from conditions like poison ivy, chickenpox, and insect bites.",https://www.walgreens.com/store/c/calamine-lotion-100-ml/ID=prod6240212-product
"Topical Antihistamine Cream (e.g., Doxepin Cream)","A prescription cream that helps to relieve severe itching caused by eczema, dermatitis, or hives. (Conceptual example for RAG)",https://www.goodrx.com/doxepin/what-is
"Oatmeal Bath (e.g., Aveeno Soothing Bath Treatment)","Finely ground colloidal oatmeal disperses in bath water to soothe itchy, irritated skin caused by chickenpox, eczema, or poison ivy.",https://www.aveeno.com/products/soothing-bath-treatment
